course_id,course_name,credits,instructor
1BNATS201,Maths,4,Prof. Vasuda
1BCHES202,Chemistry,4,Dr. M Dinamani
1BAIA203,Introduction to AI and it's application,3,Prof. Ensteih Silvia
1BESC204B,IEE,3,Prof. Aathira Anil
1BPLC205B,Python programming,4,Dr. Rohini T V
